44884	42480
11542	11225
11543	11929
11540	17157
11541	17158
11546	6462
11547	17160
11544	17159
38843	37774
11548	17161
11549	17162
5988	14009
5989	11321
19399	22466
19398	22465
5982	14004
5983	14005
5980	14003
5981	2430
5986	14007
5987	14008
5984	3155
5985	14006
46139	6971
46138	6966
46137	6965
46136	6964
46131	6953
270	2553
271	63
272	1868
273	11740
274	357
275	1723
276	904
277	64
278	1538
279	2582
16707	9987
16706	8041
16701	20373
16700	20372
16703	20375
16702	20374
42087	40364
12019	17474
12018	17473
12015	17470
12014	17469
12017	17472
12016	17471
12011	17467
42085	40363
12013	17468
17258	7787
17259	20799
42084	40362
17250	20793
17251	20794
17252	9532
17253	20795
17254	20796
17255	20797
17256	20798
17257	9076
10709	16708
10708	16707
42081	40359
9258	5834
9259	7777
9256	11114
9257	15816
9254	15815
10700	3252
9252	15814
9253	3634
10705	4311
9251	8922
46793	10744
46792	10743
46797	10747
46796	10746
46795	10745
21615	24127
21614	24126
46799	10755
46798	10754
21611	24125
21610	12336
19397	22464
45448	42872
19396	22463
45446	42871
45447	8342
45444	42869
45445	42870
45442	7999
19395	22462
45440	11342
45441	7998
44799	42420
44798	42419
19394	22461
44791	42414
19393	22460
44793	42416
44792	42415
44795	42417
44797	42418
19392	22459
46869	11109
46868	11108
19391	22458
46860	11066
46863	11093
46862	11092
46865	11098
46864	11094
29236	30178
31677	32064
13058	18095
13059	18096
41398	39818
13052	8909
13053	18091
13050	18089
13051	18090
13056	18093
13057	18094
13054	18092
13055	2213
20258	23109
20259	23110
20252	23104
20253	23105
20250	23102
20251	23103
20256	23108
20257	8950
20254	23106
20255	23107
40966	39461
40967	39462
40964	39459
40965	39460
29769	30579
29768	30578
40960	39455
40961	39456
29765	30576
29766	30577
29761	30573
29760	30572
29763	30575
29762	30574
1177	5613
1176	12507
1175	1193
1174	1883
1173	1038
1172	1550
1171	375
1170	2439
23507	25426
23506	25425
23505	25424
23504	25423
23503	25422
23502	25421
1179	1194
